,source_genesymbol,target_genesymbol,references
18876,PTN,PTPRZ1,Baccin2019:10706604;Baccin2019:16814777;BioGRID:10706604;CellChatDB:25620911;CellChatDB:28356350;CellTalkDB:25644401;Cellinker:10706604;Cellinker:16814777;Cellinker:25620911;Cellinker:28356350;HPMR:10706604;HPRD:10706604;HPRD:16814777;LRdb:10706604;LRdb:17;SPIKE_LC:16713569;connectomeDB2020:10706604;connectomeDB2020:16814777
18877,PTN,PTPRS,CellTalkDB:16169070;Cellinker:16169070;HPRD:16169070;LRdb:16169070;SPIKE_LC:16169070;SPIKE_LC:16713569;connectomeDB2020:16169070
18880,ICAM4,ITGAM,CellTalkDB:10846180;Cellinker:10846180;Cellinker:15355350;HPRD:10846180;LRdb:11;LRdb:15355350;connectomeDB2020:10846180;connectomeDB2020:15355350
18881,ICAM4,ITGAL,CellTalkDB:10846180;Cellinker:15355350;LRdb:15355350;connectomeDB2020:15355350
18882,ICAM4,ITGA4,CellTalkDB:11435317;Cellinker:11435317;HPRD:11435317;LRdb:11435317;connectomeDB2020:11435317
18883,ICAM4,ITGB3,CellTalkDB:15355350;Cellinker:15355350;LRdb:15355350;connectomeDB2020:15355350
18884,ICAM4,ITGB1,CellTalkDB:11435317;Cellinker:11435317;HPRD:11435317;LRdb:11435317;SPIKE_LC:16189514;connectomeDB2020:11435317
18886,ICAM4,RHAG,Baccin2019:8563755;CellTalkDB:8563755;Cellinker:8563755;HPRD:8563755;LRdb:8563755;SPIKE_LC:16189514
18887,TNFSF13,TNFRSF14,Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119
18888,TNFSF13,FAS,Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119
18893,FYN,SPN,CellTalkDB:8910342;Cellinker:8910342;HPRD:9603925;LRdb:8910342;SPIKE_LC:16713569
18908,HP,ITGAM,CellTalkDB:11967116;Cellinker:11967116;HPRD:11967116;LRdb:11967116;connectomeDB2020:8786317
18909,HP,ITGB2,CellTalkDB:11967116;Cellinker:11967116;HPRD:11967116;LRdb:11967116;connectomeDB2020:8786317
18910,HP,TLR4,CellTalkDB:31076532
18911,HP,CD163,CellTalkDB:25389409;HPRD:11854028;connectomeDB2020:27294203
18912,RSPO1,FZD8,CellTalkDB:32196115;NetPath:17976036
18930,GIP,ADCYAP1R1,CellTalkDB:32196115
18931,GIP,DPP4,CellTalkDB:15655705;Cellinker:15655705;LRdb:15655705;Ramilowski2015:15655705;connectomeDB2020:15655705;talklr:15655705
18932,GIP,TSHR,CellTalkDB:32196115
18933,GIP,GPR20,CellTalkDB:32196115
18934,GIP,GPR84,CellTalkDB:32196115
18935,APOA4,LDLR,CellTalkDB:32196115
18939,ALKAL1,ALK,CellTalkDB:26418745;IntAct:26418745;connectomeDB2020:26630010
18940,PYY,DPP4,CellTalkDB:30759373;Cellinker:21314817
18941,PYY,NPY1R,Baccin2019:954976112665544;CellTalkDB:9549761;Cellinker:12665544;Cellinker:9549761;HPRD:12665544;LRdb:127;LRdb:9549761;connectomeDB2020:12665544;connectomeDB2020:9549761
18944,LAMC3,ITGA6,CellTalkDB:32196115
18945,LAMC3,ITGB1,CellTalkDB:32196115
18954,DLL1,NOTCH4,CellChatDB:22353464;CellTalkDB:22353464;Cellinker:22353464;Cellinker:29910816;connectomeDB2020:22353464
18955,THBS2,ITGA4,CellTalkDB:14699013;Cellinker:14699013;LRdb:14699013;Ramilowski2015:14699013;connectomeDB2020:14699013;talklr:14699013
18956,THBS2,ITGB1,CellTalkDB:15292271;LRdb:15292271;Ramilowski2015:15292271;connectomeDB2020:15292271;talklr:15292271
18957,THBS2,ITGB3,CellTalkDB:32196115
18958,THBS2,NOTCH4,CellTalkDB:32196115
18959,THBS2,ITGA6,CellTalkDB:12909644;Cellinker:12909644;LRdb:12909644;Ramilowski2015:12909644;connectomeDB2020:12909644;talklr:12909644
18960,THBS2,CD36,CellTalkDB:20714802
18961,LEFTY2,ACVR1B,CellTalkDB:32196115
18964,VIP,GPR84,CellTalkDB:32196115
18965,VIP,GPR20,CellTalkDB:32196115
18966,VIP,TSHR,CellTalkDB:32196115
18969,XCL1,ADGRV1,CellTalkDB:32103204
18970,CCN2,ITGAM,CellTalkDB:12736251;Cellinker:12736251;LRdb:12736251;connectomeDB2020:12736251
18971,CCN2,NTRK1,CellTalkDB:15601748;Cellinker:15601748;LRdb:15601748;Ramilowski2015:15601748;connectomeDB2020:15601748;talklr:15601748
18972,CCN2,ITGB2,CellTalkDB:12736251;Cellinker:12736251;LRdb:12736251;connectomeDB2020:12736251
18973,APOA2,LDLR,CellTalkDB:32196115
18974,EFNA1,EPHB6,CellTalkDB:32196115
18975,EFNA1,EPHA10,CellTalkDB:11114742;Cellinker:28589441;LRdb:11114742
18976,EFNA1,EPHB1,CellTalkDB:8755474;HPRD:7973638;HPRD:8070404;HPRD:8755474;LRdb:7973638;LRdb:8070404;LRdb:8755474
18977,EFNA3,EPHB6,CellTalkDB:32196115
18978,EFNA3,EPHA10,CellTalkDB:11114742;Cellinker:28589441;LRdb:11114742
18979,EFNA3,EPHB1,Baccin2019:9330863;CellTalkDB:9330863;LRdb:9330863;connectomeDB2020:9330863
18980,S100A8,ITGB2,CellTalkDB:9570563
18981,S100A8,CD36,CellTalkDB:31794767
18982,S100A12,TLR4,CellTalkDB:23611140
18983,S100A12,CD36,CellTalkDB:27734162
18984,S100A9,ITGB2,CellTalkDB:9570563
18985,S100A9,CD36,CellTalkDB:24691441
18986,NGF,SORCS2,CellTalkDB:30061605
18987,NGF,TRPV1,CellTalkDB:17074976
18988,NGF,MAGED1,CellTalkDB:32196115
18990,L1CAM,FGFR2,CellTalkDB:32196115
18992,L1CAM,EPHB2,CellTalkDB:32196115;connectomeDB2020:22579729
18993,L1CAM,CNTN1,Baccin2019:7595520;CellTalkDB:7595520;Cellinker:7595520;HPRD:7595520;LRdb:7595520;connectomeDB2020:7595520
18996,CD40LG,ITGAM,CellTalkDB:32196115
18997,CD40LG,ITGB2,CellTalkDB:24652469
19016,ANGPTL3,ITGB3,CellTalkDB:11877390;HPRD:11877390;LRdb:11877390;connectomeDB2020:11877390
19020,SFTPD,TLR4,CellTalkDB:16834340;InnateDB:16834340;InnateDB:18990700
19031,ANGPTL2,LILRB2,CellTalkDB:24899623;Cellinker:24478758;DIP:22660330;IntAct:22660330;IntAct:24899623;connectomeDB2020:26056041
19032,GHRH,ADCYAP1R1,CellTalkDB:32196115
19033,GHRH,GPR20,CellTalkDB:32196115
19034,GHRH,TSHR,CellTalkDB:32196115
19035,GHRH,GPR84,CellTalkDB:32196115
19036,COL16A1,ITGB1,CellTalkDB:32196115
19045,FGF14,FGFR2,CellTalkDB:16597617;LRdb:16597617
19046,FGF14,FGFR1,CellTalkDB:16597617;LRdb:16597617
19047,HLA-C,LILRB2,CellTalkDB:12853576;Cellinker:12853576;DIP:17056715;HPRD:12853576;LRdb:12853576;connectomeDB2020:12853576
19048,HLA-C,CD3G,CellTalkDB:31848223
19049,HLA-C,KIR3DL1,CellTalkDB:32196115
19050,HLA-E,KIR3DL1,CellTalkDB:32196115
19051,ACTR2,LDLR,CellTalkDB:32196115
19052,NDP,LGR4,Baccin2019:23444378;CellTalkDB:23444378;Cellinker:23444378;LRdb:23444378;connectomeDB2020:23444378
19053,GDF9,BMPR1B,Baccin2019:12135884;CellTalkDB:12135884;Cellinker:12135884;HPRD:12135884;LRdb:12135884;connectomeDB2020:12135884
19055,INSL3,ADCYAP1R1,CellTalkDB:32196115
19056,INSL3,TSHR,CellTalkDB:32196115
19057,INSL3,GPR84,CellTalkDB:32196115
19058,INSL3,RXFP1,CellTalkDB:32103204;Cellinker:25761609;scConnect:23303914
19059,AVP,ADCYAP1R1,CellTalkDB:32196115
19060,AVP,LDLR,CellTalkDB:32196115
19061,AVP,GPR84,CellTalkDB:32196115
19062,AVP,TSHR,CellTalkDB:32196115
19063,UCN3,CRHR1,Baccin2019:11416224;CellTalkDB:11416224;Cellinker:11416224;HPRD:11416224;LRdb:11416224;connectomeDB2020:11416224
19066,RLN2,ADCYAP1R1,CellTalkDB:32196115
19067,RLN2,TSHR,CellTalkDB:32196115
19068,RLN2,GPR84,CellTalkDB:32196115
19071,RPH3A,NRXN1,Baccin2019:8901523;CellTalkDB:8901523;Cellinker:8901523;HPRD:8901523;LRdb:8901523;connectomeDB2020:8901523
19072,RPH3A,NRXN1,Baccin2019:8901523;CellTalkDB:8901523;Cellinker:8901523;HPRD:8901523;LRdb:8901523;connectomeDB2020:8901523
19073,LAMA1,ITGA6,CellTalkDB:32196115;HPMR:10842354;NetPath:7721947
19074,LAMA1,ITGA7,CellTalkDB:11278916;HPMR:11278916;LRdb:11278916;connectomeDB2020:11278916
19075,CCL25,ACKR2,CellTalkDB:10706668;Cellinker:10706668;HPRD:10706668;LRdb:10706668;connectomeDB2020:10706668
19077,LAMB3,ITGB1,CellTalkDB:32196115
19078,LAMB3,ITGA6,CellTalkDB:32196115;NetPath:8143784
19079,AFDN,NRXN3,CellTalkDB:9707552;Cellinker:9707552;HPRD:9707552;LRdb:9707552
19080,AFDN,NRXN3,CellTalkDB:9707552;Cellinker:9707552;HPRD:9707552;LRdb:9707552
19081,IL1F10,IL1R1,Baccin2019:11278614;CellTalkDB:11278614;Cellinker:11278614;HPRD:11278614;LRdb:11278614;connectomeDB2020:11278614
19083,SPP1,ITGA4,CellTalkDB:19417209;LRdb:19417209;Ramilowski2015:19417209;connectomeDB2020:19417209;talklr:19417209
19084,SPP1,ITGB1,CellTalkDB:10593924;HPRD:10593924;LRdb:10593924;connectomeDB2020:10593924;connectomeDB2020:7592829
19085,SPP1,ITGB3,CellTalkDB:32196115;connectomeDB2020:7592829
19086,LGALS9,CD44,CellChatDB:25065622;CellTalkDB:32103204;Cellinker:25065622;InnateDB:20206131;connectomeDB2020:25065622
19088,ADM2,ADCYAP1R1,CellTalkDB:32196115
19089,ADM2,TSHR,CellTalkDB:32196115
19090,ADM2,GPR84,CellTalkDB:32196115
19091,CXCL12,ITGB1,CellTalkDB:18448868;Cellinker:18448868;LRdb:18448868;Ramilowski2015:18448868;connectomeDB2020:18448868;talklr:18448868
19092,BMP7,BMPR1B,Baccin2019:106311828605097;CellTalkDB:15621726;HPRD:8605097;LRdb:10631182;LRdb:86;connectomeDB2020:10631182;connectomeDB2020:8605097
19095,HLA-A,CD3G,CellTalkDB:32196115
19096,CNTN4,PTPRG,CellTalkDB:20133774;Cellinker:20133774;LRdb:20133774;Ramilowski2015:20133774;connectomeDB2020:20133774;talklr:20133774
19099,NPS,ADCYAP1R1,CellTalkDB:32196115
19100,NPS,GPR84,CellTalkDB:32196115
19101,NPS,TSHR,CellTalkDB:32196115
19104,POMC,ADCYAP1R1,CellTalkDB:32196115
19105,POMC,OPRM1,Baccin2019:15464143;CellTalkDB:15464143;Cellinker:15464143;HPMR:15464143;LRdb:15464143;connectomeDB2020:15464143
19106,POMC,GPR84,CellTalkDB:32196115
19107,POMC,TSHR,CellTalkDB:32196115
19108,FBLN2,ITGB3,CellTalkDB:10848816;Cellinker:10848816;HPRD:10848816;LRdb:10848816
19109,SAA1,FPR1,Baccin2019:10753626;CellTalkDB:10753626;Cellinker:10753626;HPRD:10753626;LRdb:10753626
19110,MDK,ITGA6,CellTalkDB:32196115;connectomeDB2020:15466886
19111,TF,LDLR,CellTalkDB:32196115
19112,TF,TFR2,Baccin2019:11027676;CellTalkDB:11027676;Cellinker:11027676;HPRD:11027676;LRdb:11027676;connectomeDB2020:11027676
19114,ARTN,GFRA2,CellTalkDB:32196115;Cellinker:9883723
19115,GCG,ADCYAP1R1,CellTalkDB:32196115
19116,GCG,GPR84,CellTalkDB:32196115
19117,GCG,TSHR,CellTalkDB:32196115
19118,ADIPOQ,GPR42,CellTalkDB:32103204
19119,PTPN6,CD300LF,CellTalkDB:15549731;Cellinker:15549731;HPRD:14662855;HPRD:15184070;HPRD:15549731
19121,NTF3,NTRK1,CellChatDB:27908981;CellTalkDB:17439940;Cellinker:27908981;LRdb:17439940;Ramilowski2015:17439940;connectomeDB2020:17439940;talklr:17439940
19122,RLN3,ADCYAP1R1,CellTalkDB:32196115
19123,RLN3,TSHR,CellTalkDB:32196115
19124,RLN3,GPR84,CellTalkDB:32196115
19125,TNF,FFAR2,CellTalkDB:32103204
19126,CCN1,ITGAM,CellTalkDB:12036876;Cellinker:12036876;LRdb:12036876;connectomeDB2020:12036876
19127,CCN1,ITGB3,CellTalkDB:9446626;Cellinker:9446626;LRdb:9446626;connectomeDB2020:9446626
19128,HLA-B,CD3G,CellTalkDB:32196115
19129,LAMA2,ITGA7,CellTalkDB:11278916;LRdb:11278916;connectomeDB2020:11278916
19130,ICAM2,ITGAM,CellTalkDB:10352278;HPRD:10352278;LRdb:10352278;connectomeDB2020:10352278
19131,FSHB,ADCYAP1R1,CellTalkDB:32196115
19132,FSHB,TSHR,CellTalkDB:32196115
19133,FSHB,GPR84,CellTalkDB:32196115
19135,C1QTNF5,MFRP,Baccin2019:12944416;CellTalkDB:21810984;Cellinker:12944416;HPRD:12944416;IntAct:16600989;LRdb:12944416
19136,HSPA8,LDLR,CellTalkDB:32196115
19137,CALCB,ADCYAP1R1,CellTalkDB:32196115
19138,CALCB,TSHR,CellTalkDB:32196115
19139,CALCB,GPR84,CellTalkDB:32196115
19140,ADM,ADCYAP1R1,CellTalkDB:32196115
19141,ADM,TSHR,CellTalkDB:32196115
19142,ADM,GPR84,CellTalkDB:32196115
19143,PTHLH,ADCYAP1R1,CellTalkDB:32196115
19144,PTHLH,GPR84,CellTalkDB:32196115
19145,CGA,ADCYAP1R1,CellTalkDB:32196115
19150,LAMA3,ITGA3,CellTalkDB:32196115
19151,LAMA4,ITGA3,CellTalkDB:32196115
19152,LAMA2,ITGA3,CellTalkDB:32196115
19153,LAMA1,ITGA3,CellTalkDB:32196115
19154,LGALS8,ITGA3,CellTalkDB:10852818;HPRD:10852818;InnateDB:16368432;InnateDB:18849583;LRdb:10852818
19155,NID1,ITGA3,CellTalkDB:32196115
19156,LAMC3,ITGA3,CellTalkDB:32196115
19157,THBS1,ITGA3,CellTalkDB:10196234;LRdb:10196234;Ramilowski2015:10196234;connectomeDB2020:10196234;talklr:10196234
19159,LAMB2,ITGA3,CellTalkDB:32196115
19161,LAMA5,ITGA3,CellTalkDB:32196115
19163,LAMC1,ITGA3,CellTalkDB:32196115
19164,LAMB3,ITGA3,CellTalkDB:32196115
19166,VTN,ITGA3,CellTalkDB:32196115
19167,LAMB1,ITGA3,CellTalkDB:32196115
19168,LAMC2,ITGA3,CellTalkDB:10842354;LRdb:10842354;connectomeDB2020:10842354
19171,HLA-G,CD4,CellTalkDB:32196115
19172,CXCL12,CD4,CellTalkDB:10600606;Cellinker:10600606;HPRD:10600606;LRdb:10600606;connectomeDB2020:10600606
19174,PIP,CD4,Baccin2019:10820003;CellTalkDB:10820003;Cellinker:10820003;HPRD:10820003;InnateDB:10820003;LRdb:10820003;SPIKE_LC:16189514;connectomeDB2020:10820003
19176,ADCYAP1,SCTR,Baccin2019:1335692;CellTalkDB:1335692;HPRD:1335692;LRdb:1335692;connectomeDB2020:1335692
19180,CD70,TNFRSF17,CellTalkDB:32103204
19181,HP,CD22,CellTalkDB:9127741;HPRD:11967116
19186,TNFSF13,TNFRSF1A,Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119
19187,LTB,TNFRSF1A,Baccin2019:7995952;CellTalkDB:7995952;Cellinker:7995952;HPRD:7995952;LRdb:7995952;connectomeDB2020:7995952
19188,IL2,NGFR,Baccin2019:1316918;CellTalkDB:1316918;Cellinker:1316918;HPRD:1316918;LRdb:1316918
19190,NTF4,NGFR,AlzPathway:9775403;Baccin2019:7541633;CellTalkDB:7541633;Cellinker:7541633;HPRD:7541633;LRdb:7541633;connectomeDB2020:7541633
19191,NTF3,NGFR,AlzPathway:9775403;CellTalkDB:20036257;connectomeDB2020:27434667
19194,NTS,NGFR,CellTalkDB:32196115
19195,BDNF,DRD4,CellTalkDB:32196115
19198,CD99,PILRA,CellChatDB:18234675;CellTalkDB:18234675;Cellinker:18234675;LRdb:18234675;connectomeDB2020:18234675
19199,LAMA3,ITGB4,CellTalkDB:32196115;NetPath:12867433;NetPath:8143784
19200,LAMA2,ITGB4,CellTalkDB:32196115;NetPath:7721947
19201,LAMC3,ITGB4,CellTalkDB:32196115
19202,LAMB2,ITGB4,CellTalkDB:32196115;NetPath:10671376;NetPath:7721947
19203,LAMA5,ITGB4,CellTalkDB:32196115;NetPath:10671376;NetPath:11733063
19204,LAMC1,ITGB4,CellTalkDB:32196115;NetPath:10671376;NetPath:11733063;NetPath:7721947
19205,LAMA1,ITGB4,CellTalkDB:32196115;HPMR:10842354;NetPath:7721947
19206,LAMB3,ITGB4,CellTalkDB:32196115;NetPath:12867433;NetPath:8143784
19207,LAMB1,ITGB4,CellTalkDB:32196115;HPMR:10842354;NetPath:11733063;NetPath:7721947
19208,LAMC2,ITGB4,CellTalkDB:10842354;LRdb:10842354;NetPath:12867433;NetPath:8143784;connectomeDB2020:10842354
19209,FGF1,TGFBR3,CellTalkDB:32103204
19210,INHBA,TGFBR3,Baccin2019:10746731;CellTalkDB:10746731;Cellinker:10746731;HPRD:10746731;LRdb:10746731;connectomeDB2020:10746731
19212,PF4,PROCR,Baccin2019:9395524;CellTalkDB:9395524;Cellinker:9395524;LRdb:9395524;connectomeDB2020:9395524
19213,FAM3C,GLRA2,CellTalkDB:32103204
19214,GHRL,MLNR,CellTalkDB:12606621;Cellinker:12606621;HPRD:12606621;LRdb:12606621;connectomeDB2020:12606621
19219,CXCL8,CD79A,CellTalkDB:32196115
19222,KITLG,EPOR,CellTalkDB:11124255;Cellinker:11124255;HPRD:11124255;LRdb:11124255
19223,LAMA1,ITGB8,CellTalkDB:7542940;HPMR:7542940;LRdb:7542940;connectomeDB2020:7542940
19224,VTN,ITGB8,CellTalkDB:11156415;HPRD:11156415;LRdb:11156415;connectomeDB2020:11156415
19229,PLG,PLGRKT,CellTalkDB:19897580;Cellinker:19897580;LRdb:19897580;Ramilowski2015:19897580;connectomeDB2020:19897580;talklr:19897580
19231,IL22,IL10RA,Baccin2019:58985;CellTalkDB:10875937;LRdb:58985;connectomeDB2020:58985
19232,S100A8,CD69,CellTalkDB:26296369
19233,IL33,IL1RL1,Baccin2019:29247993;CellTalkDB:23980170;DIP:19439663;HPRD:16286016;InnateDB:18450470;InnateDB:19439663;InnateDB:19559631;InnateDB:19836339;InnateDB:23980170;SPIKE_LC:16286016;SPIKE_LC:17145710;connectomeDB2020:16286016;connectomeDB2020:19996325;connectomeDB2020:20926795;connectomeDB2020:29763370
19235,CXCL13,OPRD1,CellTalkDB:32196115
19237,VCAN,SELL,Baccin2019:16148216;CellTalkDB:32196115;InnateDB:10221651;InnateDB:10950950;MatrixDB:12556525
19240,CD34,SELL,Baccin2019:12889478;CellTalkDB:7692600;LRdb:12889478;connectomeDB2020:12889478
19247,RAET1L,KLRK1,CellTalkDB:23025544;IntAct:19658097;IntAct:28559451;connectomeDB2020:26041808;connectomeDB2020:29651291
19248,ULBP3,KLRK1,CellTalkDB:20530255;Cellinker:11754823;HPRD:11754823;IntAct:11754823;IntAct:18544572;IntAct:28559451;connectomeDB2020:11239445;connectomeDB2020:26041808;connectomeDB2020:29651291
19250,RAET1E,KLRK1,CellChatDB:24223577;CellTalkDB:12732206;HPRD:12732206;HPRD:14508119;IntAct:19436053;IntAct:19658097;IntAct:28559451;LRdb:12732206;LRdb:15;connectomeDB2020:12732206;connectomeDB2020:14508119;connectomeDB2020:29651291
19252,RAET1G,KLRK1,CellChatDB:24223577;CellTalkDB:19424970;HPRD:15240696;IntAct:15240696;IntAct:19424970;IntAct:19658097;connectomeDB2020:26041808;connectomeDB2020:29651291
19253,INHBC,ACVR2A,Baccin2019:12651901;CellTalkDB:22710174;Cellinker:22710174;HPRD:12651901;LRdb:12651901;connectomeDB2020:12651901
19254,GDF9,ACVR2A,Baccin2019:12135884;CellTalkDB:12135884;Cellinker:12135884;HPRD:12135884;LRdb:12135884;connectomeDB2020:12135884
19256,NODAL,ACVR2A,Baccin2019:11952836;CellTalkDB:11952836;LRdb:11952836;connectomeDB2020:11952836
19257,BMP15,ACVR2A,CellTalkDB:26198319;Cellinker:27252362;Ramilowski2015:2419820;connectomeDB2020:2419820;talklr:2419820
19258,BMP10,ACVR2A,Baccin2019:16049014;CellTalkDB:16049014;LRdb:16049014;connectomeDB2020:16049014
19259,GDF7,ACVR2A,Baccin2019:16049014;CellTalkDB:16049014;LRdb:16049014;connectomeDB2020:16049014
19260,LEFTY1,ACVR2A,CellTalkDB:32196115
19261,INHA,ACVR2A,Baccin2019:12493742;CellTalkDB:12493742;LRdb:12493742;connectomeDB2020:12493742
19262,GDF1,ACVR2A,CellTalkDB:24798330
19263,INHBB,ACVR2A,Baccin2019:1246619011266510;CellTalkDB:12466190;HPRD:11266516;LRdb:11;LRdb:12466190;connectomeDB2020:11266516;connectomeDB2020:12466190
19264,INHBE,ACVR2A,CellTalkDB:22710174;Cellinker:22710174
19265,LEFTY2,ACVR2A,CellTalkDB:32196115;Cellinker:11952836
19266,GDF2,ACVR2A,CellTalkDB:22622516;LRdb:19996292;Ramilowski2015:19996292;connectomeDB2020:19996292;talklr:19996292
19267,BMP2,ACVR2A,Baccin2019:20959140;CellTalkDB:21702718;DIP:10880444;DIP:25938661;InnateDB:17295905;InnateDB:17483092;Ramilowski2015:21702718;connectomeDB2020:21702718;talklr:21702718
19268,BMP6,ACVR2A,Baccin2019:10504300;CellTalkDB:10504300;HPRD:10504300;LRdb:10504300;connectomeDB2020:10504300
19269,GDF5,ACVR2A,Baccin2019:8702914;CellTalkDB:8702914;HPRD:8702914;LRdb:8702914;connectomeDB2020:8702914
19270,ADCYAP1,RAMP3,CellTalkDB:23745705
19271,GHRH,RAMP3,CellTalkDB:32196115
19272,CGA,RAMP3,CellTalkDB:32196115
19273,GCG,RAMP3,CellTalkDB:19886671
19274,TSHB,RAMP3,CellTalkDB:32196115
19275,PTH2,RAMP3,CellTalkDB:12446722
19276,AVP,RAMP3,CellTalkDB:32196115
19277,VIP,RAMP3,CellTalkDB:23745705
19278,PTH,RAMP3,CellTalkDB:32196115
19279,PTHLH,RAMP3,CellTalkDB:32196115
19280,NPS,RAMP3,CellTalkDB:32196115
19281,FSHB,RAMP3,CellTalkDB:32196115
19282,POMC,RAMP3,CellTalkDB:32196115
19283,RLN2,RAMP3,CellTalkDB:32196115
19284,RLN3,RAMP3,CellTalkDB:32196115
19285,GIP,RAMP3,CellTalkDB:32196115
19286,CRH,RAMP3,CellTalkDB:32196115
19287,INSL3,RAMP3,CellTalkDB:32196115
19288,APOA2,LRP1,CellTalkDB:32196115
19291,PDGFB,LRP1,CellTalkDB:11854294;Cellinker:11854294;HPRD:11854294;LRdb:11854294;connectomeDB2020:11854294
19293,APOC2,LRP1,CellTalkDB:32196115
19297,APOE,LRP1,AlzPathway:19026743;Baccin2019:11421580;CellTalkDB:11421580;Cellinker:11421580;Cellinker:31677479;HPRD:11421580;IntAct:15182176;IntAct:20030366;LRdb:11421580;connectomeDB2020:22622580;connectomeDB2020:2779654
19298,PCSK9,LRP1,CellTalkDB:28495363
19304,FCN2,LRP1,CellTalkDB:21054788;LRdb:21054788;Lit-BM-17:21054788;Ramilowski2015:21054788;connectomeDB2020:21054788;talklr:21054788
19305,THBS1,LRP1,Baccin2019:14991768;Baccin2019:9045712;BioGRID:14991768;BioGRID:7775583;BioGRID:9045712;CellTalkDB:9045712;Cellinker:14991768;Cellinker:9045712;HPRD:14991768;HPRD:9045712;LRdb:15;LRdb:9045712;connectomeDB2020:14991768;connectomeDB2020:7775583;connectomeDB2020:9045712
19306,APOA4,LRP1,CellTalkDB:32196115
19309,VWF,LRP1,CellTalkDB:22234691
19311,CCN2,LRP1,Baccin2019:14585398;CellTalkDB:14585398;Cellinker:14585398;HPRD:14585398;LRdb:14585398;connectomeDB2020:14585398
19312,HPX,LRP1,CellTalkDB:31078524
19317,PF4,LRP1,CellTalkDB:20806113
19319,WNT3A,LRP1,Baccin2019:14739301;CellTalkDB:14739301;Cellinker:14739301;HPRD:14739301;LRdb:14739301;connectomeDB2020:14739301
19320,INHBB,ACVR1C,Baccin2019:15196700;CellTalkDB:15196700;HPRD:15196700;LRdb:15196700;connectomeDB2020:15196700
19327,KNG1,CD93,CellTalkDB:12213329;Cellinker:12213329;Cellinker:8710908;HPRD:12213329;HPRD:8710908;LRdb:12213329;LRdb:87
19338,IGFL2,IGFLR1,CellTalkDB:21454693;LRdb:21454693;Ramilowski2015:21454693;connectomeDB2020:21454693;talklr:21454693
19339,IGFL1,IGFLR1,CellTalkDB:21454693;IntAct:21454693;LRdb:21454693;Ramilowski2015:21454693;connectomeDB2020:21454693;talklr:21454693
19340,IGFL3,IGFLR1,CellChatDB:21454693;CellTalkDB:21454693;Cellinker:21454693;LRdb:21454693;Ramilowski2015:21454693;connectomeDB2020:21454693;talklr:21454693
19346,GALP,GALR3,Baccin2019:983212115944009;CellTalkDB:9832121;Cellinker:15944009;Cellinker:9832121;LRdb:159;LRdb:9832121;connectomeDB2020:15944009;connectomeDB2020:9832121;scConnect:15944009
19347,WNT4,SMO,CellTalkDB:32103204
19348,BMP2,SMO,CellTalkDB:32103204
19349,SHH,SMO,Baccin2019:16867986;CellTalkDB:16867986;Cellinker:16867986;HPMR:16867986;LRdb:16867986;NetPath:8906787;connectomeDB2020:16867986
19350,CCL11,ACKR4,CellTalkDB:10734104;Cellinker:10734104;HPRD:10734104;HPRD:9405404;LRdb:10734104;connectomeDB2020:10734104
19351,CCL7,ACKR4,CellTalkDB:10734104;Cellinker:10734104;DIP:10734104;HPRD:10734104;HPRD:9364936;HPRD:9405404;InnateDB:10734104;LRdb:10734104;connectomeDB2020:10734104
19352,CCL8,ACKR4,CellChatDB:26740381;CellTalkDB:10734104;Cellinker:10734104;Cellinker:26740381;DIP:10734104;HPRD:10734104;HPRD:9405404;InnateDB:10734104;LRdb:10734104;connectomeDB2020:10734104
19353,S100A9,CD68,CellTalkDB:27312849
19354,S100A8,CD68,CellTalkDB:27312849
19356,HLA-A,LILRA1,CellTalkDB:21559424
19357,HLA-C,LILRA1,CellTalkDB:21270408;Cellinker:21270408
19358,HLA-B,LILRA1,CellTalkDB:19230061
19359,ADCYAP1,RAMP2,CellTalkDB:23745705
19360,GHRH,RAMP2,CellTalkDB:32196115
19361,CGA,RAMP2,CellTalkDB:32196115
19362,GCG,RAMP2,CellTalkDB:32196115
19363,TSHB,RAMP2,CellTalkDB:32196115
19364,PTH2,RAMP2,CellTalkDB:32196115
19365,AVP,RAMP2,CellTalkDB:32196115
19366,VIP,RAMP2,CellTalkDB:23745705
19367,PTH,RAMP2,CellTalkDB:32196115
19368,PTHLH,RAMP2,CellTalkDB:32196115
19369,NPS,RAMP2,CellTalkDB:32196115
19370,FSHB,RAMP2,CellTalkDB:32196115
19371,POMC,RAMP2,CellTalkDB:32196115
19372,RLN2,RAMP2,CellTalkDB:32196115
19373,RLN3,RAMP2,CellTalkDB:32196115
19374,GIP,RAMP2,CellTalkDB:32196115
19375,CRH,RAMP2,CellTalkDB:32196115
19376,INSL3,RAMP2,CellTalkDB:32196115
19377,VIP,RAMP1,CellTalkDB:15361343
19381,VEGFC,LYVE1,CellTalkDB:32196115
19387,DLK1,NOTCH2,CellChatDB:22353464;CellTalkDB:22353464;Cellinker:22353464;LRdb:22353464;connectomeDB2020:22353464
19392,PDGFD,PDGFRA,CellTalkDB:32196115
